ros_time,wall_elapsed,x,y,z,qx,qy,qz,qw,vx,vy,vz,wz
0.002,59.34347422000428,0.0,2.3,0.6,0.0,0.0,0.7071080798594737,0.7071054825112364,0.0,0.0,0.0,0.0
0.024,59.364398746001825,-5.449418788264736e-06,2.3024777251805824,0.5951568465711582,0.0007719896750500054,0.0005647104238552346,0.707188179183594,0.7070247268356828,-2.070500699858878e-05,0.00031120833421011617,-0.22189866697420044,1.622796798845085e-05
0.046,59.386110402003396,-6.8527462209685974e-06,2.3027700333452192,0.587264547321512,0.0009597376402467219,0.0006980423596801726,0.7071977969450103,0.7070147577219659,-5.33239183088864e-05,0.011468452858912735,-0.4530755459659492,0.0010914467674243082
0.066,59.40599356700113,-7.920735578953453e-06,2.3029965448879883,0.5760425141320819,0.0011104266904119315,0.0008059739014153625,0.7072052750573298,0.7070069421792984,-5.381049631835223e-05,0.011185884083104565,-0.6495574087006155,0.0010703182059217723
0.088,59.427727006004716,-9.121593073674328e-06,2.3032382324846723,0.5591569627426541,0.0012814708331064667,0.0009288889074586707,0.7072132488316343,0.7069985259354553,-5.52212939322711e-05,0.010821009137664438,-0.865817673573944,0.0010392708381458287
0.108,59.44762831299886,-1.0238375279120367e-05,2.303451205444442,0.5396789856678362,0.0014411063174065261,0.0010437960936365653,0.7072202542246798,0.7069910506623658,-5.631149384281195e-05,0.010511813510450314,-1.0623120712705905,0.0010113657405229478
0.128,60.06057248700381,-1.1374330568292117e-05,2.3036583128380372,0.5162723320321704,0.001603929275999145,0.001161095946123545,0.7072270337433143,0.7069837353219057,-5.716525470663553e-05,0.01023190018313702,-1.2586974656840273,0.0009846656848168493
0.15,60.08256968000205,-1.264071154561102e-05,2.3038800757496434,0.4859898726038781,0.0017859255401450527,0.0012922232815979883,0.7072342412558928,0.7069758614154782,-5.78618106473436e-05,0.009959323088418095,-1.4746063679345809,0.000956919805950463
0.17,60.45174420400144,-1.3803047042648155e-05,2.3040768439669708,0.4543395576185218,0.001953368540087289,0.001412772889438479,0.7072405776679065,0.7069688491893228,-5.8303590404753096e-05,0.009744177334355602,-1.670792337578998,0.000933277744295282
0.192,60.473770684002375,-1.5089639367816751e-05,2.304288742559449,0.41499343874315764,0.0021391111199100163,0.0015462503417902633,0.7072473243428045,0.706961282902707,-5.8606126785601075e-05,0.009543872615921968,-1.886501825695178,0.0009090935514465688
0.214,60.495995502998994,-1.6380813602969585e-05,2.304496696253854,0.3709028248048784,0.002325900565113301,0.0016800344280943763,0.7072538528277197,0.7069538565785096,-5.8738971581751995e-05,0.009382133145327074,-2.10211962218329,0.0008868895722738173
0.234,61.11463513700437,-1.755562468581072e-05,2.3046830413933814,0.32670495560563234,0.0024961767077573286,0.0018014060529347974,0.7072596130719984,0.7069472142637833,-5.872763837923256e-05,0.009269073402800945,-2.298061838175813,0.0008684836937828481
0.256,61.45201253500272,-1.9091012817939144e-05,2.304883855801017,0.2735875035228556,0.0026621336872549397,0.0019210987723440414,0.7072654426753342,0.7069404614400012,3.229339745656543e-05,0.008164124539514586,-2.5049163657956366,0.0006107786126120323
0.276,61.47183570799825,-1.814710381476889e-05,2.304983844342314,0.22137540830483912,0.0027842128394159568,0.0020024566524797565,0.707265404249637,0.706939803857314,5.1520414182784866e-05,0.0035058655607755323,-2.697705961847554,-0.0001847708257862859
0.298,61.493752296999446,-1.663879369407338e-05,2.3050790801578467,0.15959522724079442,0.0028912704339359055,0.0020150906713493873,0.7072642565605398,0.7069404864320128,8.709108205941555e-05,0.006544538447574944,-2.898259943324176,1.8759145260334964e-05
0.318,61.513652166999236,8.400803833395233e-06,2.30797735845588,0.10659435388127035,-5.8253039167710524e-05,0.000164447224257207,0.7072819982082605,0.7069314992092401,0.005686379863647132,0.11760790577969915,-1.8065024367946387,-0.049346552330588246
0.338,62.108963299004245,0.0006500410428438865,2.3042527941376076,0.09841815632241603,-0.010722188366364415,-0.0071829396767595245,0.70694565365154,0.707150113368748,0.023323673583832135,-0.1713419359341583,-0.40604849453482855,-0.08049464620688147
0.36,62.47199193900451,0.0017263091350247497,2.3010994625449697,0.09386869557779644,-0.008314295081492826,-0.00851973374241378,0.706491450160122,0.7076214506958532,0.040057307467294016,-0.10672422981446066,-0.019569984930247603,-0.1330830804603795
