event,wall_time_ns,sim_time_us,sim_dt_us,estimated_rtf,state_sequence,state_stamp_us,fsm_iteration,fsm_sequence,estimator_sequence,estimator_source_state_sequence,wave_sequence,gait_cycle_sequence,reset_generation,runtime_ctrl_dt_us,target_control_hz,control_update_accepted,new_state_consumed,repeated_state_consumed,scheduler_accepted,accepted_state_sequence,scheduler_lag_us,missed_periods,repeated_state_rejected_count,fsm_state,wave_status,resolved_vx,resolved_vy,resolved_yaw_rate,phase_0,phase_1,phase_2,phase_3,contact_0,contact_1,contact_2,contact_3,policy_sequence,policy_source_state_sequence,policy_sim_time_us,policy_wall_time_ns,policy_wait_exit_reason,policy_wait_sim_elapsed_us,policy_wait_wall_elapsed_us,history_oldest_stamp_us,history_newest_stamp_us,history_span_us,history_duplicate_count,action_sequence,action_source_state_sequence,lowcmd_sequence,lowcmd_action_sequence,lowcmd_sim_time_us,torn_action,prewave_readiness_flags,prewave_readiness_hold_elapsed,prewave_first_block_reason,prewave_model_height,prewave_numerical_guard_stage,prewave_wave_cancel_reason
FSM,1784565211930204330,0,0,0,0,0,1,0,0,0,0,0,0,2000,500,0,0,0,0,0,0,0,0,1,1,0,0,0,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FSM,1784565211932288734,0,0,0,0,0,2,0,0,0,0,0,0,2000,500,0,0,0,0,0,0,0,0,1,1,0,0,0,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FSM,1784565211934392795,0,0,0,0,0,3,0,0,0,0,0,0,2000,500,0,0,0,0,0,0,0,0,1,1,0,0,0,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FSM,1784565211936478679,0,0,0,0,0,4,0,0,0,0,0,0,2000,500,0,0,0,0,0,0,0,0,1,1,0,0,0,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FSM,1784565211938502782,0,0,0,0,0,5,0,0,0,0,0,0,2000,500,0,0,0,0,0,0,0,0,1,1,0,0,0,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FSM,1784565211940599517,0,0,0,0,0,6,0,0,0,0,0,0,2000,500,0,0,0,0,0,0,0,0,1,1,0,0,0,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FSM,1784565211942678590,0,0,0,0,0,7,0,0,0,0,0,0,2000,500,0,0,0,0,0,0,0,0,1,1,0,0,0,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FSM,1784565211944765677,0,0,0,0,0,8,0,0,0,0,0,0,2000,500,0,0,0,0,0,0,0,0,1,1,0,0,0,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FSM,1784565211946781602,0,0,0,0,0,9,0,0,0,0,0,0,2000,500,0,0,0,0,0,0,0,0,1,1,0,0,0,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FSM,1784565211948882051,0,0,0,0,0,10,0,0,0,0,0,0,2000,500,0,0,0,0,0,0,0,0,1,1,0,0,0,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FSM,1784565211950985668,0,0,0,0,0,11,0,0,0,0,0,0,2000,500,0,0,0,0,0,0,0,0,1,1,0,0,0,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FSM,1784565211953062474,0,0,0,0,0,12,0,0,0,0,0,0,2000,500,0,0,0,0,0,0,0,0,1,1,0,0,0,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FSM,1784565211955091823,0,0,0,0,0,13,0,0,0,0,0,0,2000,500,0,0,0,0,0,0,0,0,1,1,0,0,0,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FSM,1784565211957188823,0,0,0,0,0,14,0,0,0,0,0,0,2000,500,0,0,0,0,0,0,0,0,1,1,0,0,0,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FSM,1784565211959202687,0,0,0,0,0,15,0,0,0,0,0,0,2000,500,0,0,0,0,0,0,0,0,1,1,0,0,0,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FSM,1784565211961295886,0,0,0,0,0,16,0,0,0,0,0,0,2000,500,0,0,0,0,0,0,0,0,1,1,0,0,0,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FSM,1784565211963405420,0,0,0,0,0,17,0,0,0,0,0,0,2000,500,0,0,0,0,0,0,0,0,1,1,0,0,0,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FSM,1784565211965502934,0,0,0,0,0,18,0,0,0,0,0,0,2000,500,0,0,0,0,0,0,0,0,1,1,0,0,0,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FSM,1784565211967548554,0,0,0,0,0,19,0,0,0,0,0,0,2000,500,0,0,0,0,0,0,0,0,1,1,0,0,0,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FSM,1784565211969605024,0,0,0,0,0,20,0,0,0,0,0,0,2000,500,0,0,0,0,0,0,0,0,1,1,0,0,0,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FSM,1784565211971680260,0,0,0,0,0,21,0,0,0,0,0,0,2000,500,0,0,0,0,0,0,0,0,1,1,0,0,0,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FSM,1784565211973768474,0,0,0,0,0,22,0,0,0,0,0,0,2000,500,0,0,0,0,0,0,0,0,1,1,0,0,0,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FSM,1784565211975863155,0,0,0,0,0,23,0,0,0,0,0,0,2000,500,0,0,0,0,0,0,0,0,1,1,0,0,0,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FSM,1784565211977960447,0,0,0,0,0,24,0,0,0,0,0,0,2000,500,0,0,0,0,0,0,0,0,1,1,0,0,0,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
