%time,field.header.seq,field.header.stamp,field.header.frame_id,field.twist.linear.x,field.twist.linear.y,field.twist.linear.z,field.twist.angular.x,field.twist.angular.y,field.twist.angular.z
1784885536348874331,10197,1784885536348874331,vehicle,0.0,0.0,0.0,0.0,0.0,0.0
1784885536348874331,10198,1784885536348874331,vehicle,0.0,0.0,0.0,0.0,0.0,0.0
1784885536348874331,10199,1784885536348874331,vehicle,0.0,0.0,0.0,0.0,0.0,0.0
1784885536348874331,10200,1784885536348874331,vehicle,0.0,0.0,0.0,0.0,0.0,0.0
1784885536348874331,10201,1784885536348874331,vehicle,0.0,0.0,0.0,0.0,0.0,0.0
1784885536348874331,10202,1784885536348874331,vehicle,0.0,0.0,0.0,0.0,0.0,0.0
1784885536348874331,10203,1784885536348874331,vehicle,0.0,0.0,0.0,0.0,0.0,0.0
1784885536348874331,10204,1784885536348874331,vehicle,0.0,0.0,0.0,0.0,0.0,0.0
1784885560541984797,10205,1784885560541984797,vehicle,0.0,0.0,0.0,0.0,0.0,0.0
1784885560541984797,10206,1784885560541984797,vehicle,0.0,0.0,0.0,0.0,0.0,0.0
1784885560592318535,10207,1784885560592318535,vehicle,0.0,0.0,0.0,0.0,0.0,0.0
1784885560592318535,10208,1784885560592318535,vehicle,0.0,0.0,0.0,0.0,0.0,0.0
1784885560592318535,10209,1784885560592318535,vehicle,0.0,0.0,0.0,0.0,0.0,0.0
1784885560642543316,10210,1784885560642543316,vehicle,0.012000000104308128,0.0,0.0,0.0,0.0,0.019999999552965164
1784885560642543316,10211,1784885560642543316,vehicle,0.023999998345971107,0.0,0.0,0.0,0.0,0.03999999910593033
1784885560692797184,10212,1784885560692797184,vehicle,0.035999998450279236,0.0,0.0,0.0,0.0,0.06000000238418579
1784885560692797184,10213,1784885560692797184,vehicle,0.04800000041723251,0.0,0.0,0.0,0.0,0.07999999821186066
1784885560692797184,10214,1784885560692797184,vehicle,0.06000000238418579,0.0,0.0,0.0,0.0,0.09999999403953552
1784885560743182421,10215,1784885560743182421,vehicle,0.07199999690055847,0.0,0.0,0.0,0.0,0.11999998986721039
1784885560743182421,10216,1784885560743182421,vehicle,0.08399999141693115,0.0,0.0,0.0,0.0,0.14000000059604645
1784885560793528080,10217,1784885560793528080,vehicle,0.09599998593330383,0.0,0.0,0.0,0.0,0.1600000113248825
1784885560793528080,10218,1784885560793528080,vehicle,0.10799998044967651,0.0,0.0,0.0,0.0,0.18000002205371857
1784885560793528080,10219,1784885560793528080,vehicle,0.1199999749660492,0.0,0.0,0.0,0.0,0.20000003278255463
1784885560844293118,10220,1784885560844293118,vehicle,0.13199996948242188,0.0,0.0,0.0,0.0,0.21991148591041565
1784885560844293118,10221,1784885560844293118,vehicle,0.14399996399879456,0.0,0.0,0.0,0.0,0.21991148591041565
1784885560894551039,10222,1784885560894551039,vehicle,0.15599995851516724,0.0,0.0,0.0,0.0,0.21991148591041565
1784885560894551039,10223,1784885560894551039,vehicle,0.16799995303153992,0.0,0.0,0.0,0.0,0.21991148591041565
1784885560894551039,10224,1784885560894551039,vehicle,0.1799999475479126,0.0,0.0,0.0,0.0,0.21991148591041565
1784885560944924355,10225,1784885560944924355,vehicle,0.19199994206428528,0.0,0.0,0.0,0.0,0.21991148591041565
1784885560944924355,10226,1784885560944924355,vehicle,0.20399993658065796,0.0,0.0,0.0,0.0,0.21991148591041565
1784885560995284081,10227,1784885560995284081,vehicle,0.21599993109703064,0.0,0.0,0.0,0.0,0.21991148591041565
1784885560995284081,10228,1784885560995284081,vehicle,0.22799992561340332,0.0,0.0,0.0,0.0,0.21991148591041565
1784885560995284081,10229,1784885560995284081,vehicle,0.239999920129776,0.0,0.0,0.0,0.0,0.21991148591041565
1784885561045534372,10230,1784885561045534372,vehicle,0.2519999146461487,0.0,0.0,0.0,0.0,0.21991148591041565
1784885561045534372,10231,1784885561045534372,vehicle,0.26399993896484375,0.0,0.0,0.0,0.0,0.21991148591041565
1784885561045534372,10232,1784885561045534372,vehicle,0.2759999632835388,0.0,0.0,0.0,0.0,0.21991148591041565
1784885561095779896,10233,1784885561095779896,vehicle,0.2879999876022339,0.0,0.0,0.0,0.0,0.21991148591041565
1784885561095779896,10234,1784885561095779896,vehicle,0.30000001192092896,0.0,0.0,0.0,0.0,0.21991148591041565
1784885561146114349,10235,1784885561146114349,vehicle,0.312000036239624,0.0,0.0,0.0,0.0,0.21991148591041565
1784885561146114349,10236,1784885561146114349,vehicle,0.3240000605583191,0.0,0.0,0.0,0.0,0.21991148591041565
1784885561146114349,10237,1784885561146114349,vehicle,0.33600008487701416,0.0,0.0,0.0,0.0,0.21991148591041565
1784885561196468592,10238,1784885561196468592,vehicle,0.34800010919570923,0.0,0.0,0.0,0.0,0.21991148591041565
1784885561196468592,10239,1784885561196468592,vehicle,0.3600001335144043,0.0,0.0,0.0,0.0,0.21991148591041565
1784885561246853352,10240,1784885561246853352,vehicle,0.37200015783309937,0.0,0.0,0.0,0.0,0.21991148591041565
1784885561246853352,10241,1784885561246853352,vehicle,0.38400018215179443,0.0,0.0,0.0,0.0,0.21991148591041565
1784885561246853352,10242,1784885561246853352,vehicle,0.3960002064704895,0.0,0.0,0.0,0.0,0.21991148591041565
1784885561297253847,10243,1784885561297253847,vehicle,0.40800023078918457,0.0,0.0,0.0,0.0,0.21991148591041565
1784885561297253847,10244,1784885561297253847,vehicle,0.42000025510787964,0.0,0.0,0.0,0.0,0.21991148591041565
1784885561347524881,10245,1784885561347524881,vehicle,0.4320002794265747,0.0,0.0,0.0,0.0,0.21991148591041565
1784885561347524881,10246,1784885561347524881,vehicle,0.4440003037452698,0.0,0.0,0.0,0.0,0.21991148591041565
1784885561347524881,10247,1784885561347524881,vehicle,0.45600032806396484,0.0,0.0,0.0,0.0,0.21991148591041565
1784885561397882700,10248,1784885561397882700,vehicle,0.4680003523826599,0.0,0.0,0.0,0.0,0.21991148591041565
1784885561397882700,10249,1784885561397882700,vehicle,0.480000376701355,0.0,0.0,0.0,0.0,0.21991148591041565
1784885561448230743,10250,1784885561448230743,vehicle,0.49200040102005005,0.0,0.0,0.0,0.0,0.21991148591041565
1784885561448230743,10251,1784885561448230743,vehicle,0.5040004253387451,0.0,0.0,0.0,0.0,0.21991148591041565
1784885561448230743,10252,1784885561448230743,vehicle,0.5160003900527954,0.0,0.0,0.0,0.0,0.21991148591041565
1784885561498592854,10253,1784885561498592854,vehicle,0.5280003547668457,0.0,0.0,0.0,0.0,0.21991148591041565
1784885561498592854,10254,1784885561498592854,vehicle,0.540000319480896,0.0,0.0,0.0,0.0,0.21991148591041565
1784885561548943520,10255,1784885561548943520,vehicle,0.5520002841949463,0.0,0.0,0.0,0.0,0.21991148591041565
1784885561548943520,10256,1784885561548943520,vehicle,0.5640002489089966,0.0,0.0,0.0,0.0,0.21991148591041565
1784885561548943520,10257,1784885561548943520,vehicle,0.5760002136230469,0.0,0.0,0.0,0.0,0.21991148591041565
1784885561599279404,10258,1784885561599279404,vehicle,0.5880001783370972,0.0,0.0,0.0,0.0,0.21991148591041565
1784885561599279404,10259,1784885561599279404,vehicle,0.6000001430511475,0.0,0.0,0.0,0.0,0.21991148591041565
1784885561649636269,10260,1784885561649636269,vehicle,0.6000001430511475,0.0,0.0,0.0,0.0,0.21991148591041565
1784885561649636269,10261,1784885561649636269,vehicle,0.6000001430511475,0.0,0.0,0.0,0.0,0.21991148591041565
1784885561649636269,10262,1784885561649636269,vehicle,0.6000001430511475,0.0,0.0,0.0,0.0,0.21991148591041565
1784885561699983597,10263,1784885561699983597,vehicle,0.6000001430511475,0.0,0.0,0.0,0.0,0.21991148591041565
1784885561699983597,10264,1784885561699983597,vehicle,0.6000001430511475,0.0,0.0,0.0,0.0,0.21991148591041565
1784885561750370979,10265,1784885561750370979,vehicle,0.6000001430511475,0.0,0.0,0.0,0.0,0.21991148591041565
1784885561750370979,10266,1784885561750370979,vehicle,0.6000001430511475,0.0,0.0,0.0,0.0,0.21991148591041565
1784885561750370979,10267,1784885561750370979,vehicle,0.6000001430511475,0.0,0.0,0.0,0.0,0.21991148591041565
1784885561800631285,10268,1784885561800631285,vehicle,0.6000001430511475,0.0,0.0,0.0,0.0,0.21991148591041565
1784885561800631285,10269,1784885561800631285,vehicle,0.6000001430511475,0.0,0.0,0.0,0.0,0.21991148591041565
1784885561850854874,10270,1784885561850854874,vehicle,0.6000001430511475,0.0,0.0,0.0,0.0,0.21991148591041565
1784885561850854874,10271,1784885561850854874,vehicle,0.6000001430511475,0.0,0.0,0.0,0.0,0.21991148591041565
1784885561850854874,10272,1784885561850854874,vehicle,0.6000001430511475,0.0,0.0,0.0,0.0,0.21991148591041565
1784885561901084900,10273,1784885561901084900,vehicle,0.6000001430511475,0.0,0.0,0.0,0.0,0.21991148591041565
1784885561901084900,10274,1784885561901084900,vehicle,0.6000001430511475,0.0,0.0,0.0,0.0,0.21991148591041565
1784885561951356649,10275,1784885561951356649,vehicle,0.6000001430511475,0.0,0.0,0.0,0.0,0.21991148591041565
1784885561951356649,10276,1784885561951356649,vehicle,0.6000001430511475,0.0,0.0,0.0,0.0,0.21991148591041565
1784885561951356649,10277,1784885561951356649,vehicle,0.6000001430511475,0.0,0.0,0.0,0.0,0.21991148591041565
1784885562001567841,10278,1784885562001567841,vehicle,0.6000001430511475,0.0,0.0,0.0,0.0,0.21991148591041565
1784885562001567841,10279,1784885562001567841,vehicle,0.6000001430511475,0.0,0.0,0.0,0.0,0.21991148591041565
1784885562051746368,10280,1784885562051746368,vehicle,0.6000001430511475,0.0,0.0,0.0,0.0,0.21991148591041565
1784885562051746368,10281,1784885562051746368,vehicle,0.6000001430511475,0.0,0.0,0.0,0.0,0.21991148591041565
1784885562051746368,10282,1784885562051746368,vehicle,0.6000001430511475,0.0,0.0,0.0,0.0,0.21991148591041565
1784885562101954222,10283,1784885562101954222,vehicle,0.6000001430511475,0.0,0.0,0.0,0.0,0.21991148591041565
1784885562101954222,10284,1784885562101954222,vehicle,0.6000001430511475,0.0,0.0,0.0,0.0,0.21991148591041565
1784885562152220726,10285,1784885562152220726,vehicle,0.6000001430511475,0.0,0.0,0.0,0.0,0.21991148591041565
1784885562152220726,10286,1784885562152220726,vehicle,0.6000001430511475,0.0,0.0,0.0,0.0,0.21991148591041565
1784885562152220726,10287,1784885562152220726,vehicle,0.6000001430511475,0.0,0.0,0.0,0.0,0.21991148591041565
1784885562202424049,10288,1784885562202424049,vehicle,0.6000001430511475,0.0,0.0,0.0,0.0,0.21991148591041565
1784885562202424049,10289,1784885562202424049,vehicle,0.6000001430511475,0.0,0.0,0.0,0.0,0.21991148591041565
1784885562252619028,10290,1784885562252619028,vehicle,0.6000001430511475,0.0,0.0,0.0,0.0,0.21991148591041565
